Name,Number_A,Number_B
Karis Boyle,57,40
Corbin Graves,5,69
Arisha Michael,51,88
Ioan Serrano,5,58
Esha Mcphee,70,34
Homer Delaney,31,3
Mario Tillman,95,34
Eliott Levine,84,89
Findlay Arnold,52,28
Emme Nunez,91,8
Cieran Woodcock,21,68
Franco Evans,50,57
Mariana Rush,7,42
Alicja Metcalfe,6,54
Shamima Rios,81,99
Teegan Crouch,59,5
Keeleigh Paine,15,11
Neha Ali,9,47
Betsy Donovan,519,64
Greyson Dean,524,45
Dimitri Gilmour,530,58
Elwood Marsh,536,69
Archer Ryan,542,64
Alexa Mac,421,55
Yassin Wilde,54,50
Elsie-Mae Thomson,75,92
Hassan Osborne,36,40
